17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,17,13,13,13,13,13,17,13,13,13,13,13,13,13,13,14,17,13,13,13,17,17,13,13,13,13,13,13,13,13,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,16,13,13,13,13,13,13,13,16,13,13,13,17,17,13,13,13,13,13,13
13,13,13,13,13,13,13,16,13,13,13,13,13,13,16,13,13,13,13,13,14,13,13,17,13,13,13,13,17,16,13,13,13,13,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,17,13,13,13,13,14,13,13,13,13,17,13,13,13,13,14,13,13,13,15,13,13,13,13,14,13,13,16,13,13,13,13,13,16,13,16,13,13,14,13,16,13,13
13,13,13,13,17,13,13,13,13,13,16,13,13,17,13,13,17,13,13,13,17,13,13,13,13,16,13,13,13,13,17,13,13,13,13,13,13,14,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,13,17,13,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,17,14,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,17,13,13,13,13,17,16,13,13,13,17,13,13,13,13,17,16,13,57,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,59,13,13,13,13,13,13,17,13,13,13,13,17
13,13,17,14,13,13,13,13,17,17,13,13,13,13,13,13,13,13,17,13,17,17,13,13,13,13,14,17,13,13,13,13,14,13,13,13,17,13,13,13,13,17,16,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,57,25,64,61,61,61,61,61,61,61,61,61,61,61,61,61,63,25,59,13,17,13,13,16,13,13,13,16,13,16,13
13,13,17,13,13,13,13,13,17,13,13,13,13,17,17,13,13,13,17,13,17,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,13,17,17,13,13,13,13,13,13,13,13,13,13,13,17,14,13,13,13,13,13,13,14,13,57,25,59,13,17,13,16,13,13,13,13,13,13,13,13,13,57,25,59,17,17,13,13,17,14,13,13,13,13,13,13
17,13,13,13,13,13,13,17,16,14,17,13,17,17,13,17,13,13,13,13,13,17,13,16,13,13,13,13,13,13,13,17,13,13,17,14,13,13,13,13,13,13,13,13,17,13,13,13,13,14,13,13,13,13,17,17,13,13,13,17,13,13,13,13,14,17,13,13,13,57,25,59,13,13,15,13,13,13,17,15,14,13,17,15,13,67,25,59,13,13,13,14,17,13,13,13,13,14,17,13
13,13,17,13,16,13,13,13,13,13,13,13,13,13,13,13,17,13,14,13,13,13,13,13,17,13,13,13,13,13,13,13,13,16,17,13,13,13,13,14,17,13,13,13,17,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,17,13,13,13,13,13,13,57,25,59,13,13,13,16,13,13,13,13,13,16,13,16,13,57,25,59,13,13,13,13,13,13,13,17,13,13,13,13
13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,17,17,13,13,13,13,13,13,13,13,13,13,17,14,13,13,13,13,13,13,17,13,13,13,13,13,17,16,13,13,13,17,13,13,13,13,17,16,13,13,13,13,17,13,16,13,13,13,13,13,13,14,57,25,59,16,13,17,13,13,17,13,13,17,13,15,13,13,57,25,59,13,13,17,13,17,13,16,13,13,13,13,13
13,17,13,13,13,14,17,13,13,13,13,14,13,15,17,13,13,13,17,13,17,13,13,13,13,17,13,13,13,17,13,13,13,13,17,13,16,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,13,13,13,13,13,17,13,13,14,13,13,13,57,86,59,13,13,13,15,14,13,13,16,13,13,13,14,16,57,25,68,13,13,13,13,13,13,13,17,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,54,69,55,55,55,55,55,55,55,69,55,55,56,13,13,13,13,17,13,13,13,13,17,13,13,13,13,13,13,13,13,17,14,13,13,13,13,13,13,13,13,54,55,55,55,55,55,55,55,55,55,55,55,55,65,26,66,55,55,55,55,55,55,55,55,55,55,56,13,17,57,25,59,17,14,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,57,73,78,75,73,78,78,95,79,30,78,75,59,13,17,13,16,13,13,13,13,13,13,13,13,13,14,17,13,13,13,17,13,13,13,13,14,17,13,13,13,57,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,59,13,13,57,25,59,17,13,13,13,13,14,17,13,13,13,13,13
